strate_CP;sexe;IPS_CP;strate_CE1;CPFCOMO_Debut;CPFCOPH_Debut;CPFCOTE_Debut;CPFPHPH_Debut;CPFPHSY_Debut;CPFRLGP_Debut;CPFRLLE_Debut;CPFRLSI_Debut;CPFRLSY_Debut;CPMETNOCOEN_Debut;CPMETNOCORN_Debut;CPMETNOPR_Debut;CPMUTNOCA_Debut;CPMUTNOGN_Debut;CPMUTNOLN_Debut;CPFCOPH_Mi;CPFLILVMO_Mi;CPFLILVMOINV_Mi;CPFLILVTE_Mi;CPFLOE_Mi;CPFLOR_Mi;CPFPHPH_Mi;CPFRLGP_Mi;CPMNOCACOGN_Mi;CPMNOCACOLN_Mi;CPMNOCANECLAD_Mi;CPMNOCANECLSO_Mi;CPMNOCANOEN_Mi;CPMNOCARP_Mi;CE1COMO;CE1COPH;CE1FLOE;CE1FLOR;CE1LICP;CE1LICTEN;CE1LILVMO;CE1LILVTE;CE1MEGAS;CE1MNOCACOLN;CE1MNOCANECLAD;CE1MNOCANECLSO;CE1MNOCANECM;CE1MNOCANOEN;CE1MNOCANORC;CE1MNOCANORP;CE1MNOCARP;IPS_CE1;birthday;CodeEleve;CodeEtablissementCP;CodeEtablissementCE1;CodeClasseCP;CodeClasseCE1
REP;Garcon;125.5;REP;13;14;18;8;12;10;7;3;16;11;10;6;8;22;5;14;23;23;28;9;7;9;10;40;6.5;6;6;10;3;15;14;11;11;9;7;59;79;7;10.5;5;7;9;8;10;6;5;128.3;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;87.9;Public Hors EP;14;13;17;12;11;7;3;0;18;11;8;3;7;22;4.5;14;11;17;12;10;4;9;8;36;3.5;7;7;10;2;15;14;12;4;8;6;19;20;7;5;4;3;8;4;8;16;3;87.9;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;76.8;REP;14;14;16;13;14;10;5;4;24;11;10;6;8;21;6;14;20;22;24;10;8;12;10;40;9;7;7;10;5;15;14;12;12;8;7;63.2727272727273;80;8;13;6;8;10;10;9;14;5;80.2;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;112.9;Public Hors EP;6;11;10;5;4;4;0;1;14;6;10;2;4;3;0;9;11;18;17;6;1;7;9;9;0;4;6;9;5;10;13;11;8;7;6;35;25;6;3.5;1;2;9;9;8;7;2;98.7;2012-08;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;112.5;Public Hors EP;6;12;4;5;8;5;4;4;4;11;10;0;8;5;2;10;14;14;17;8;6;6;10;21;5;7;0;10;2;13;14;10;12;8;5;45;41;6;4.5;4;0;9;10;10;7;1;111.8;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;78.9;Public Hors EP;13;13;14;8;11;9;6;4;23;11;10;1;8;20;0;13;17;21;13;9;7;12;10;40;3;7;5;9;4;14;15;10;8;10;8;44;55;6;7;6;1;10;6;7;11;6;77.3;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;112.5;Public Hors EP;10;12;7;8;10;8;6;4;8;10;10;4;8;8;3;12;17;21;29;8;7;10;9;23;3;6;7;9;3;15;15;10;9;8;7;21;13;4;2;3;3;8;4;3;7;4;108.9;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;102.1;Public Hors EP;14;14;16;12;15;9;7;3;24;11;10;5;8;60;4;14;17;4;9;6;5;8;10;40;9;7;7;7;2;13;14;8;10;8;5;29;20;6;11;5;0;10;10;10;12;5;101;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;125.5;Public Hors EP;6;10;1;2;11;6;5;4;13;11;10;1;8;12;1;9;13;6;16;4;5;6;9;39;3;7;7;10;1;11;12;12;12;8;3;50;47;4;9.5;4;4;9;9;10;8;3;128.7;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;97.4;Public Hors EP;15;14;17;12;14;10;5;4;17;10;10;6;8;18;2;13;22;19;24;9;7;12;10;39;9;7;7;10;5;15;13;12;11;9;7;50;63;6;9.5;3;4;10;8;8;6;5;100.5;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;96.3;Prive;13;13;14;5;11;0;5;3;12;10;9;1;7;15;4;11;11;8;13;5;6;7;10;29;2;4;7;3;3;14;15;7;6;6;8;28;25;7;3;3;3;8;5;3;5;4;98.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;;Public Hors EP;13;9;12;2;5;6;5;4;10;8;9;1;6;5;0;12;11;2;9;4;2;8;9;32;6;3;0;6;3;13;15;6;5;9;5;34;44;3;9.5;4;1;7;9;6;6;1;;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;102.4;Public Hors EP;5;12;15;13;14;9;5;4;19;11;10;3;8;19;3.5;11;15;12;19;6;5;9;8;33;7;2;1;10;3;10;13;10;11;7;4;33;29;2;4.5;5;0;7;9;7;11;2;102.6;2012-02;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;105.6;Public Hors EP;8;13;15;6;12;7;6;1;17;11;10;2;8;39;2;14;37.5;28;37.8260869565217;9;6;11;10;40;3.5;7;2;10;3;13;15;12;10;7;7;52;49;5;4.5;3;3;9;10;10;15;4;102;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;87.9;Public Hors EP;6;11;15;14;14;10;7;4;22;11;10;5;8;44;5;12;19;24;29;10;7;12;10;40;5;6;7;10;5;12;15;12;11;9;7;47;56;5;8.5;7;0;10;10;10;6;5;87.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;125.2;Public Hors EP;8;13;16;14;14;10;6;3;17;11;10;6;8;24;5;14;52.9411764705882;29;91.5789473684211;10;8;11;10;;4;7;;10;2;13;13;12;11;10;8;70.5882352941177;90;2;5;6;5;10;6;4;15;6;125;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;124.4;Public Hors EP;11;13;12;8;15;10;3;4;11;10;10;5;8;26;4;13;30;28;29;8;8;7;9;39;8;7;3;9;4;12;15;10;4;8;7;63.2142857142857;140.930232558139;6;6.5;5;5;8;10;10;13;4;122.6;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;103.8;Public Hors EP;11;14;15;3;9;1;6;3;6;11;10;2;8;11;0;11;11;7;12;8;5;8;10;37;1;4;2;10;4;15;14;11;9;9;8;51;60;7;3;6;6;7;10;10;12;3;101.8;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;91.7;Public Hors EP;13;12;17;6;12;6;4;4;20;11;10;6;8;25;2;14;13;9;11;2;1;6;8;40;5;5;6;10;3;13;;2;;4;3;12;5;7;15;7;8;10;10;10;13;6;91.5;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;96.1;Public Hors EP;11;14;15;11;7;10;7;1;16;11;10;4;8;31;3;13;14;11;13;5;4;10;10;;0.5;6;;10;2;15;15;3;5;4;7;12;4;5;1;5;2;10;6;4;11;4;95.6;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;113.2;Public Hors EP;10;12;10;4;7;7;4;3;7;11;10;3;8;13;2;11;16;15;6;9;8;8;10;30;4;3;7;4;4;11;12;7;10;6;7;42;37;4;7.5;5;1;4;9;10;6;3;115.6;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;73.7;REP;12;12;14;8;10;10;5;4;4;9;10;2;7;15;3;14;25;21;25;10;8;12;10;40;6;7;7;10;4;14;15;11;8;9;7;38;32;8;9.5;7;5;10;7;10;16;3;72.2;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Garcon;67;Prive;11;13;13;7;12;8;7;4;23;11;8;4;8;3;4;13;14;5;9;7;8;7;10;40;3;6;2;10;1;13;13;12;11;9;6;58;60;8;11;7;6;10;10;9;10;4;67.6;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;97.5;Public Hors EP;15;14;17;14;15;10;5;3;19;11;10;6;8;17;5;13;28;29;36.25;9;8;12;10;40;8;7;7;10;5;15;15;8;5;9;7;28;34;6;9;7;4;8;9;10;13;6;100.5;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;76.6;REP;7;10;8;2;7;4;2;3;4;11;10;3;8;21;3;9;9;4;7;10;6;6;9;39;3;5;0;10;0;7;10;9;6;6;5;24;23;7;2;2;0;6;5;5;7;3;77.8;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;121.1;Public Hors EP;14;14;15;6;15;7;6;3;23;11;10;5;8;23;4;12;14;14;13;3;4;10;10;38;10;6;7;9;5;14;15;8;8;7;8;30;19;8;8;3;0;9;10;9;14;5;115.1;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;77;REP;13;13;18;14;14;10;7;4;20;11;8;5;8;27;2;14;66.6666666666667;39.1304347826087;91.5789473684211;10;8;12;10;40;9;7;7;10;5;15;15;12;8;10;7;46;101;6;8;7;6;9;10;9;10;3;82.7;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;;Public Hors EP;15;13;17;12;11;5;6;4;9;11;10;2;8;21;1.5;10;18;18;14;7;6;10;10;27;2;;0;;1;13;14;12;12;6;7;38;40;7;9.5;6;5;8;9;8;6;4;;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;91.3;Public Hors EP;14;13;9;7;8;5;5;4;10;8;10;2;7;24;0;11;8;6;6;5;5;5;10;38;3.5;7;6;8;4;14;15;5;3;8;7;38;34;6;5;1;1;10;7;8;8;1;87.9;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;119.2;Public Hors EP;12;12;15;3;12;4;3;4;23;;;;;;4;10;30;27;75.6521739130435;9;8;12;10;32;5;5;7;10;5;12;14;12;11;8;6;65.4545454545455;74;1;10.5;7;8;10;10;10;15;4;131.7;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;103.6;Public Hors EP;12;14;15;13;13;10;7;4;11;11;10;6;8;26;2;13;27;16;24;8;7;11;10;40;8;6;6;10;5;13;15;12;12;10;7;46;69;7;6;6;7;10;10;10;11;6;102.9;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;84;Public Hors EP;13;11;9;9;12;8;6;4;10;11;10;1;6;4;0.5;10;17;16;21;5;6;4;10;39;2;4;7;10;2;12;14;9;10;8;7;55;57;3;7.5;5;5;10;8;9;3;1;82.1;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;111;Public Hors EP;14;13;13;14;13;10;5;4;18;11;10;3;8;37;1.5;13;42.4390243902439;30;41.4285714285714;10;8;11;8;40;3.5;5;7;9;3;13;15;11;10;9;5;68.0769230769231;74;7;7;3;3;9;9;9;9;2;110.1;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;106;Public Hors EP;14;14;15;15;13;10;5;4;23;10;10;3;8;59;6;14;39.1304347826087;35.2941176470588;51.1764705882353;10;7;12;10;40;9;7;7;10;2;14;15;11;9;10;7;46;66;4;10;7;0;9;7;8;14;5;106.7;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Garcon;65.9;REP;12;14;15;12;13;8;5;1;15;11;10;0;8;13;4;14;22;23;24;10;6;12;10;40;7;5;6;10;5;12;15;12;12;9;8;32;20;6;9;5;4;7;9;10;10;3;65.2;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;108;Prive;14;14;13;13;13;10;6;4;20;11;10;6;8;42;6;13;25;17;22;9;8;12;10;39;9;7;7;10;5;15;14;9;11;10;8;43;63;7;8.5;7;8;10;10;10;15;6;108.8;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;104;Public Hors EP;11;12;13;7;10;6;2;3;4;9;10;5;7;18;5;13;10;;;8;8;6;8;38;7;5;2;6;0;14;14;9;0;7;6;19;11;4;10;6;5;5;8;8;13;1;103.6;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;120.7;Public Hors EP;6;9;9;9;8;9;4;4;23;10;10;3;8;15;0;10;26;19;43.7837837837838;10;6;9;10;28;4;6;6;9;2;13;11;12;12;8;6;47;63;4;3.5;2;3;10;5;5;13;4;122.1;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;108.4;Public Hors EP;12;14;17;14;15;9;7;4;24;11;10;6;8;60;5;14;26;20;31.0714285714286;9;7;11;10;40;10;7;6;10;5;15;15;12;12;9;8;58;59;6;8.5;6;7;8;10;10;13;4;107.2;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;80.1;REP+;1;1;4;2;5;1;0;0;1;1;8;2;5;0;1;4;3;4;1;2;0;7;7;4;0.5;1;1;0;2;8;9;2;1;0;1;10;4;7;5.5;0;0;6;5;5;1;0;77.8;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;;Public Hors EP;15;14;18;12;15;10;7;4;12;11;10;6;8;26;6;14;19;18;11;9;5;11;9;38;4;7;7;10;5;15;14;12;9;9;5;31;24;8;10;6;7;9;10;10;16;6;;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;103;Public Hors EP;13;13;8;9;9;7;1;3;13;11;10;3;8;16;1.5;;7;5;7;0;;4;10;;;4;;8;1;12;13;1;0;2;3;7;2;5;7;0;1;8;2;8;9;2;86.9;2011-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;88.5;Public Hors EP;15;13;18;12;15;10;6;4;24;11;10;6;8;15;5.5;14;13;7;13;8;5;11;8;40;7;6;1;10;3;15;15;9;8;8;7;23;18;7;7;4;3;8;10;10;13;4;86.9;2012-06;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;112.1;Prive;13;;7;;15;;;4;22;11;10;6;8;18;5;14;112.5;100;145;10;8;12;10;40;7;6;6;10;3;12;14;11;12;9;7;90;135.999999999997;2;8;7;6;10;10;9;15;4;112.5;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;112;Prive;8;12;15;3;12;7;5;3;6;10;10;5;8;41;2;10;12;14;11;9;5;9;10;40;9;6;7;9;4;14;11;11;11;9;7;28;38;6;12.5;5;4;10;9;10;13;3;110.3;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;75.3;REP+;8;10;16;9;8;3;7;1;11;11;10;1;8;38;3;10;14;10;9;3;1;9;8;40;6;3;5;4;2;15;11;1;1;1;4;6;4;8;1.5;3;3;5;1;3;5;3;75.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;151.2;Prive;13;13;16;9;12;7;3;4;23;8;10;5;8;23;6;;21;;21;7;;6;10;39;1;;6;10;3;15;15;12;11;7;8;76.5957446808511;88;7;10.5;7;6;10;9;10;14;6;151.7;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;105.7;Public Hors EP;9;13;11;6;7;2;4;4;14;9;10;4;8;18;3;10;16;15;15;7;4;6;10;40;6;7;6;0;2;12;14;6;9;9;8;49;65;5;5;5;2;10;3;5;7;2;106.6;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;108.3;Public Hors EP;12;9;7;6;3;6;5;0;1;9;9;1;8;12;1.5;10;9;6;10;2;0;6;5;40;6.5;6;6;7;4;12;12;2;0;4;5;7;15;8;5.5;5;3;10;0;8;9;2;100;2012-11;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;110;Public Hors EP;11;14;14;7;9;6;6;4;9;10;10;2;7;16;2;14;11;14;13;4;5;7;8;39;2.5;7;3;5;3;13;15;10;4;9;8;38;39;6;3;1;1;10;4;5;4;2;107.8;2012-07;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;73.4;Public Hors EP;13;10;13;5;6;10;5;4;6;11;9;0;7;3;1.5;12;5;2;8;4;1;3;8;5;5.5;3;2;8;2;12;14;1;1;1;2;11;8;4;7.5;1;0;3;4;5;3;2;90.3;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP+;Fille;95.8;REP+;15;13;10;15;15;10;7;4;24;11;10;6;8;13;2;14;81.8181818181818;64.2857142857143;133.846153846154;10;8;12;10;40;3;3;7;9;4;15;15;12;10;10;8;81.8181818181818;130.212765957452;7;4.5;3;4;10;9;4;12;6;94.3;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;97.6;Public Hors EP;12;13;12;11;9;10;6;4;14;11;10;2;8;14;2.5;12;27.9310344827586;21;58;10;8;12;10;38;5;6;7;10;4;12;15;11;8;8;8;57.9661016949153;77;4;2.5;2;0;9;10;10;10;3;97;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;;Public Hors EP;13;13;15;15;13;10;7;4;22;10;10;5;8;60;3;14;22;16;27;10;8;10;10;40;3;6;7;10;4;14;15;12;11;10;7;51;70;6;8.5;7;8;10;10;10;13;5;;2012-03;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;83.9;Public Hors EP;10;14;16;4;14;2;4;4;13;11;10;3;8;14;1;14;6;7;19;9;4;12;10;34;7;7;7;10;5;15;14;2;4;2;4;8;6;5;4;2;1;10;4;7;7;3;83;2012-05;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
REP;Fille;70.5;REP;12;13;17;8;11;8;3;3;11;11;9;4;8;9;3;12;12;12;13;8;7;12;10;40;2.5;7;7;8;3;14;14;10;10;9;5;26;34;8;0.5;2;5;9;5;5;9;3;73.2;2012-09;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;98.1;Public Hors EP;;14;5;9;;10;4;;;10;10;4;8;1;2.5;13;40.4651162790698;36;39.5121951219512;;7;5;;39;0;;0;;2;15;15;11;11;9;8;65.4545454545455;74;3;2;2;2;4;9;6;7;3;96;2012-12;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;91;Public Hors EP;15;14;18;6;8;6;5;3;8;11;8;5;8;19;2;14;13;9;8;6;4;8;10;39;5;3;6;7;5;15;15;10;9;8;2;27;23;8;0;3;0;9;4;4;9;5;92.3;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Garcon;117.1;Public Hors EP;15;14;18;15;15;10;7;4;16;11;10;5;8;23;4;13;28.3018867924528;19;32.2222222222222;10;5;12;10;39;8;7;5;10;4;15;15;11;11;8;7;62.0689655172414;80;7;12;6;7;7;10;10;12;4;117.6;2012-01;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;98.1;Public Hors EP;15;14;18;9;12;6;6;3;18;10;0;5;;;4;14;15;16;17;4;5;12;10;40;5;6;7;10;2;15;15;11;10;9;8;50;87;7;2.5;3;3;9;9;10;8;3;99.2;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Prive;Fille;129;Prive;15;13;14;7;13;6;5;3;11;11;10;5;8;15;2;14;16;15;15;8;6;7;10;40;6;3;7;7;5;14;15;10;9;10;8;31;37;5;2;1;5;5;8;7;11;3;134;2012-04;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
Public Hors REP;Fille;128.6;Public Hors EP;15;14;16;14;15;9;5;4;12;11;10;1;8;24;2.5;14;24;18;27;8;6;12;10;40;7;7;6;10;3;14;15;12;11;10;8;45;43;6;10.5;7;7;10;10;10;14;6;129.1;2012-10;2688927048cfbe6b6fc8;ab3ff3642f9203ed;ab3ff3642f9203ed;518066eeabf3;f6726540a0cd
